gene	0h	3h	12h	24h	48h
Gsto1	9.508736887	9.292693791	9.031036235	7.496377903	6.836574109
Hddc2	8.808179128	9.157506316	8.27564118	7.329720181	6.137474556
2610201A13Rik	5.918573251	7.188912176	6.128615539	3.76843693	3.249728876
2610318N02Rik	7.94821038	8.652741788	8.583248122	7.342331214	5.280555342
Luzp5	7.520855044	9.180718281	8.451806031	5.825910369	4.858107545
BC053440	9.745822774	9.389241173	8.75979623	7.633805005	7.099019063
2810430M08Rik	8.669376207	9.00315923	8.462957217	7.040481883	6.022801226
2600001J17Rik	6.886141617	8.402577301	7.304363501	5.411335455	4.24062055
Oip5	6.323856634	7.326167106	6.410486202	4.182714208	3.683492477
Phf10	11.16212678	9.891289236	9.761971973	8.987217777	8.522632327
2310050P20Rik	7.188924708	5.652425184	6.075456625	4.83629976	4.549500593
1700040L02Rik	5.484188562	4.651366882	3.678960079	3.440034322	2.844818766
Hdac11	7.366188128	5.229072493	5.287264777	4.811443859	4.731994629
affy_1433789_at	8.617749452	10.52280376	9.555740165	7.470783246	5.990938708
Impdh2	11.31733362	11.48094485	10.94523129	9.55889432	8.693069371
Xpot	10.63507959	9.779813525	9.245413425	8.392852748	8.014915409
Top2a	7.219986218	8.946216096	8.135378515	5.212970292	4.602687349
Cmah	6.565001647	5.174635476	4.566560041	4.183397286	3.948484223
Mcm2	8.757482968	10.26369267	10.04883616	6.536235318	6.145964768
Cdca7	7.130872714	7.534715777	7.320637584	4.963657434	4.523785544
Rnu22	11.43602287	10.18170681	9.384944773	8.65380063	8.830509625
Lef1	8.215101502	5.698995074	6.495275833	5.529684971	5.613109987
Srm	9.828774701	9.921467229	9.162406583	8.248089774	7.241233017
Fkbp3	10.28800215	10.4892088	9.648728196	8.570377512	7.706002911
Dtl	6.666333415	7.411543079	7.648848437	4.190829305	4.086150309
Cd248	7.611795266	5.119196665	5.316121482	5.336426668	5.0348343
Slc2a9	6.994411197	4.036126406	4.146319858	4.863862497	4.421828673
Btla	9.040641274	9.110056548	8.486162451	7.963496379	6.469906474
2700099C18Rik	5.15815456	5.448941275	5.408713078	3.448450111	2.591058665
Reep6	5.852939446	3.341665001	3.447109115	3.783516486	3.291231956
Atad3a	10.05440408	9.379557751	8.85001197	7.973519714	7.498968488
affy_1441629_at	6.819626051	5.299091548	4.805149866	4.494542924	4.265023878
Rnf125	7.340599115	6.690158164	6.620366621	5.314909297	4.786011942
Csda	11.01108566	11.05773147	10.38598865	9.219716056	8.459977959
C730049O14Rik	7.648103055	6.956180756	6.575926738	5.582692936	5.099527759
Tmpo	8.099573956	8.680654876	8.280344826	6.272194375	5.552278553
Pdha1	10.15520426	9.301647702	8.931232471	8.66999076	7.612241853
Cad	8.109254699	9.094555503	8.126425217	6.897497608	5.566351871
Zfp318	7.582585911	4.511801544	4.649536307	5.132327393	5.042184136
6430510M02Rik	9.602019582	7.656375019	7.425446292	7.28910806	7.062637044
2610510J17Rik	7.657657828	8.91243108	8.070500062	6.012773593	5.120915061
Blm	7.203238487	8.730221602	8.352837901	5.919705112	4.671277842
Cdkn3	6.011029395	7.471876724	7.868671732	6.199697348	3.48648686
Ccr6	6.978443126	4.219352094	3.908331068	4.174818021	4.457364922
4932439E07Rik	7.245625514	6.919050031	6.755021199	4.855231564	4.726072694
2410018M08Rik	5.875984818	4.885771414	4.238723456	3.434810009	3.356830559
Tcfap4	7.268836333	5.172045199	5.243540091	4.583141196	4.751995438
affy_1443960_at	6.691662644	4.592405809	4.385564971	4.320263691	4.182172406
Depdc1b	6.475037651	8.710958099	7.862007017	5.104004915	3.967612287
Nol5	9.115356657	9.210858661	8.429613594	7.064894	6.609204884
Exo1	5.705820776	7.355141499	6.692889101	3.461360116	3.20502425
affy_1440283_at	5.668054059	3.595878411	3.644270829	3.565904521	3.167314044
Pipox	6.088647702	4.375431438	3.976339249	3.648115569	3.588725503
Gfra2	6.603057708	5.815002408	4.558378922	5.045289169	4.109385506
Asns	11.26364755	10.66515314	10.2468919	9.291396626	8.770202053
Ard1	9.156008464	9.209355143	8.401395922	7.818790757	6.663549004
Lonrf1	6.804225856	6.84523653	6.313553124	4.629621847	4.314122329
Grb7	8.478452156	6.169956972	6.288944234	5.796655024	5.989992116
Eprs	10.74448864	9.833664918	9.291856976	8.486552456	8.256895595
1110038B12Rik	12.24352285	11.16448746	10.90040905	10.38523963	9.757673571
Zfpn1a3	5.777602755	5.494701999	5.192520982	3.910754147	3.292766028
Rgs8	6.911970535	5.924935898	5.827523109	4.938588769	4.427426621
Mcm4	8.998405975	10.9695828	10.74951298	7.135474091	6.522906858
Pou2af1	11.93959798	11.01748618	10.92806027	10.101503	9.466860449
Pscdbp	10.9738897	9.727065225	7.366541507	9.948358544	8.506701034
Ccdc5	8.782899635	9.406899721	8.930857306	7.474956939	6.321944057
Amacr	6.285298877	5.585721948	5.506731899	4.719140876	3.827937935
Npm1	12.59971593	12.44581779	11.95501367	10.76410706	10.14430898
Exosc5	9.507439631	9.315201104	9.253286967	8.029133138	7.053887368
Abcb4	9.06811893	7.167796702	6.044063291	6.505068053	6.615513141
Rwdd3	5.559490138	4.059921589	3.564759618	3.506781664	3.108372263
Cdca1	6.693382098	8.324078074	7.714304308	5.239770446	4.243355654
Itih5	4.944828383	4.601656984	3.049060555	2.735340325	2.496243694
Rpl22l1	12.79956077	12.40321348	12.17765083	11.66573789	10.36377711
B230337E12Rik	9.028145962	8.484885132	7.289209006	7.667399219	6.59692404
Hmgcll1	8.231458299	7.469155494	6.272528592	5.977407696	5.803539217
Car2	11.07539163	10.82277017	9.722215	8.266330279	8.650828597
Rrs1	10.00936368	9.970079995	9.495864785	8.22638627	7.59215144
Kdelc1	9.158890854	8.712852723	8.401524135	7.873787935	6.745379156
Mmachc	6.843499846	6.325970794	6.034442291	5.214590952	4.430954504
Hspd1	11.83092857	12.01035241	11.31674922	10.02135226	9.41847539
Ppp3cc	7.964268245	6.322218052	5.651910022	5.639547157	5.560757218
Kif18a	4.790454088	5.751780789	4.90422834	3.299411778	2.388689363
Gfra1	5.822593307	4.342626784	3.500550157	3.122805991	3.423048233
9430015G10Rik	7.360263595	7.129046973	6.646107882	5.223633371	4.964300976
Tmem119	11.49036057	6.70004801	6.800511114	7.654353599	9.097486233
Ccnf	5.776439288	8.077112354	6.799900986	4.352988545	3.389243992
Prodh	6.456707278	4.656700824	4.05459898	4.724725536	4.072601224
Slc19a1	8.723281018	8.392013563	7.869297915	7.316769239	6.339613135
Ppan	9.29535523	8.084379815	8.187727852	7.437845135	6.911714551
1700027N10Rik	7.677319966	6.975881105	7.26186984	5.971181783	5.293717664
D10Ertd214e	10.99561082	10.87350724	10.87299611	9.248715544	8.618547955
affy_1446567_at	7.344250427	4.292397097	4.611043179	4.690033371	4.971927355
Atr	7.872110993	7.380398954	7.069490477	6.14474256	5.509761194
Tcfe2a	8.808758789	8.001209405	7.262956413	6.846247489	6.455344561
Cdc45l	6.41308346	8.738686424	8.127881474	4.623351894	4.065116805
2210403B10Rik	6.244556103	7.00112852	7.433632062	4.212627511	3.897466235
AI462064	7.814308574	5.577339982	4.607792485	6.068010895	5.469257119
2010204K13Rik	7.601727329	8.233291278	6.691275113	5.845310536	5.257805762
E130303B06Rik	7.513308035	7.597873347	7.142823759	5.581059935	5.171478019
Emid1	7.01343744	4.951870884	3.747190018	4.436985093	4.674813065
2610511O17Rik	6.63266647	7.115927975	6.601115437	4.957483269	4.299482329
Pkig	10.46430961	9.070471519	8.022905951	8.46855039	8.139321094
Pfas	8.530592597	9.365570887	8.18426188	6.807027028	6.206472083
Nap1l1	11.53253608	11.33594586	10.9619703	10.0328545	9.209456764
Nol5a	10.14126907	9.888578337	9.048741159	7.734113723	7.818683235
2410024N18Rik	8.093767779	9.23894971	8.829613982	6.167012348	5.77246178
1190002F15Rik	5.161953223	6.089988641	4.983160336	3.479196654	2.841492273
Wdr12	7.921532919	7.673246278	7.455135701	6.33702704	5.602965117
2600005O03Rik	5.067591222	7.043162216	6.333666003	2.682581905	2.749164391
P2ry10	8.070793174	8.453885219	6.318849709	6.292340602	5.756092586
Edg6	8.677404502	7.064951455	8.744611654	7.860932718	6.363692029
1700012A16Rik	7.028388403	4.952020051	4.575096061	4.54131112	4.715920986
Dpm3	7.63241484	5.057960667	5.161641345	5.597576939	5.323356332
affy_1437584_at	7.893768529	4.062356107	5.028442997	5.348925799	5.588254163
Ide	8.549585636	8.338131983	7.834096197	7.201511408	6.245638473
Ankrd32	6.714648318	7.692099114	6.964145774	4.775518946	4.414201391
affy_1434240_at	4.742016773	5.486795901	4.91251729	2.742331379	2.442843441
affy_AFFX-r2-Bs-dap-3_at	6.98191401	6.116278876	5.334231416	4.998247178	4.682873416
Ranbp5	9.295416516	9.996313058	9.167224646	7.817173366	6.999186215
Atp1b1	8.113564788	8.206485468	9.485659857	7.135329774	5.817779264
Lrpprc	8.615006406	8.518057069	7.994260097	7.207431892	6.32254213
Wdhd1	7.706388272	8.949849748	8.532869936	5.766669059	5.415246404
Fcrx	6.008701192	4.851934633	3.608174086	3.709441085	3.72066979
Eif2ak4	8.852298116	6.507395245	6.527311384	6.640494079	6.573932906
AV024533	7.080360119	6.701814476	5.810977402	4.616351029	4.803284647
Hes1	6.378342262	4.298797066	4.363564745	3.83707643	4.107635657
Slc25a13	7.949891563	8.169169438	7.577452142	6.334917372	5.679495427
Asf1b	7.949293325	10.03222529	9.752495448	7.017222367	5.683252234
2610209N15Rik	6.660097498	6.91578671	6.285972405	4.745455951	4.394439052
Rkhd3	5.451219631	5.759579574	4.179051854	3.125036653	3.18556574
Snrpa1	10.16700103	10.30641175	9.94717864	8.707998813	7.904533985
Nsbp1	9.561639297	10.14996045	9.930810327	8.488078458	7.299488299
Ipmk	9.733425978	9.199396968	9.840797624	7.614631082	7.473281186
Suhw3	9.055717981	8.740454203	7.951238221	7.153966876	6.796129752
Slamf7	6.286152247	3.835858484	3.386056908	3.527354573	4.027273935
H2afx	9.436329617	10.38064912	9.964848538	8.370080175	7.179858381
